+-----------------+-------------+----------------+------------------+
| Количество эпох | Размер окна | Норма обучения | Суммарная ошибка |
|      14000      |      7      |      0.45      |       0.0        |
|      14000      |      7      |      0.5       |       0.0        |
|      14000      |      7      |      0.55      |       0.0        |
|      14000      |      7      |      0.6       |       0.0        |
|      14000      |      7      |      0.65      |       0.0        |
|      14000      |      7      |      0.7       |       0.0        |
|      14000      |      7      |      0.75      |       0.0        |
|      14000      |      7      |      0.8       |       0.0        |
|      14000      |      7      |      0.85      |       0.0        |
|      14000      |      7      |      0.9       |       nan        |
|      14000      |      7      |      0.95      |       nan        |
|      14000      |      8      |      0.05      |      0.5779      |
|      14000      |      8      |      0.1       |      0.0189      |
|      14000      |      8      |      0.15      |      0.0009      |
|      14000      |      8      |      0.2       |      0.0001      |
|      14000      |      8      |      0.25      |       0.0        |
|      14000      |      8      |      0.3       |       0.0        |
|      14000      |      8      |      0.35      |       0.0        |
|      14000      |      8      |      0.4       |       0.0        |
|      14000      |      8      |      0.45      |       0.0        |
|      14000      |      8      |      0.5       |       0.0        |
|      14000      |      8      |      0.55      |       0.0        |
|      14000      |      8      |      0.6       |       0.0        |
|      14000      |      8      |      0.65      |       0.0        |
|      14000      |      8      |      0.7       |       0.0        |
|      14000      |      8      |      0.75      |       0.0        |
|      14000      |      8      |      0.8       |       0.0        |
|      14000      |      8      |      0.85      |       nan        |
|      14000      |      8      |      0.9       |       nan        |
|      14000      |      8      |      0.95      |       nan        |
|      12000      |      2      |      0.05      |      3.1815      |
|      12000      |      2      |      0.1       |      2.8543      |
|      12000      |      2      |      0.15      |      2.3004      |
|      12000      |      2      |      0.2       |      2.0665      |
|      12000      |      2      |      0.25      |      2.0785      |
|      12000      |      2      |      0.3       |      1.656       |
|      12000      |      2      |      0.35      |      1.4834      |
|      12000      |      2      |      0.4       |      1.6153      |
|      12000      |      2      |      0.45      |      1.4715      |
|      12000      |      2      |      0.5       |      1.4063      |
|      12000      |      2      |      0.55      |      1.1733      |
|      12000      |      2      |      0.6       |      1.3302      |
|      12000      |      2      |      0.65      |      1.2931      |
|      12000      |      2      |      0.7       |      1.2067      |
|      12000      |      2      |      0.75      |      1.1382      |
|      12000      |      2      |      0.8       |      1.2111      |
|      12000      |      2      |      0.85      |      1.1064      |
|      12000      |      2      |      0.9       |      0.985       |
|      12000      |      2      |      0.95      |      1.1181      |
|      12000      |      3      |      0.05      |      2.7158      |
|      12000      |      3      |      0.1       |      1.9252      |
|      12000      |      3      |      0.15      |      1.2079      |
|      12000      |      3      |      0.2       |      0.4308      |
|      12000      |      3      |      0.25      |      0.3362      |
|      12000      |      3      |      0.3       |      0.1738      |
|      12000      |      3      |      0.35      |      0.1853      |
|      12000      |      3      |      0.4       |      0.1098      |
